ID_Cliente,Evasion,Genero,AdultoMayor,TienePareja,Dependientes,MesesAntiguedad,ServicioTelefonico,LineasMultiples,ServicioInternet,SeguridadEnLinea,RespaldoEnLinea,ProteccionDispositivo,SoporteTecnico,StreamingTV,StreamingPeliculas,TipoContrato,FacturaElectronica,MetodoPago,CuentasDiarias,CargoMensual,CargoTotal
0042-RLHYP,No,Femenino,No,Sí,Sí,69,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria (automática),0.66,19.7,1396.9
0048-LUMLS,No,Masculino,No,Sí,Sí,37,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí,Un año,No,Tarjeta de crédito (automático),3.04,91.2,3247.55
0048-PIHNL,No,Femenino,No,Sí,No,49,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Transferencia bancaria (automática),0.68,20.45,900.9
0052-DCKON,No,Masculino,No,Sí,No,66,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Un año,No,Transferencia bancaria (automática),3.86,115.8,7942.15
0052-YNYOT,No,Femenino,No,No,No,67,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Cheque electrónico,0.68,20.55,1343.4
0056-EPFBG,No,Masculino,No,Sí,Sí,20,No,Sin servicio telefónico,DSL,Sí,No,Sí,Sí,No,No,Dos años,Sí,Tarjeta de crédito (automático),1.31,39.4,825.4
0057-QBUQH,No,Femenino,No,No,Sí,43,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Sí,Cheque electrónico,0.84,25.1,1070.15
0058-EVZWM,No,Femenino,No,Sí,No,55,Sí,Sí,Fibra óptica,Sí,No,No,No,Sí,No,Mensual,Sí,Transferencia bancaria (automática),2.99,89.8,4959.6
0060-FUALY,No,Femenino,No,Sí,No,59,Sí,Sí,Fibra óptica,Sí,Sí,No,No,Sí,No,Mensual,Sí,Cheque electrónico,3.16,94.75,5597.65
0064-SUDOG,No,Femenino,No,Sí,Sí,12,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria (automática),0.68,20.3,224.5
0064-YIJGF,No,Masculino,No,Sí,Sí,27,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Transferencia bancaria (automática),2.52,75.75,1929.0
0067-DKWBL,Sí,Masculino,Sí,No,No,2,Sí,No,DSL,Sí,No,No,No,No,No,Mensual,Sí,Cheque electrónico,1.64,49.25,91.1
0068-FIGTF,No,Femenino,No,No,No,27,Sí,No,DSL,No,Sí,Sí,Sí,Sí,Sí,Un año,No,Cheque por correo,2.61,78.2,2078.95
0071-NDAFP,No,Masculino,No,Sí,Sí,25,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de crédito (automático),0.85,25.5,630.6
0074-HDKDG,No,Masculino,No,Sí,Sí,25,Sí,No,DSL,Sí,Sí,Sí,No,No,No,Un año,Sí,Transferencia bancaria (automática),2.05,61.6,1611.0
0076-LVEPS,No,Masculino,No,No,Sí,29,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,No,No,Mensual,Sí,Cheque por correo,1.5,45.0,1242.45
0078-XZMHT,No,Masculino,No,Sí,No,72,Sí,Sí,DSL,No,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Transferencia bancaria (automática),2.84,85.15,6316.2
0080-EMYVY,No,Femenino,No,No,No,14,Sí,No,DSL,No,Sí,No,No,No,No,Un año,No,Tarjeta de crédito (automático),1.72,51.45,727.85
0080-OROZO,No,Femenino,No,No,No,35,Sí,No,Fibra óptica,No,No,Sí,Sí,Sí,Sí,Un año,Sí,Cheque electrónico,3.31,99.25,3532.0
0082-LDZUE,No,Masculino,No,No,No,1,Sí,No,DSL,No,No,No,No,No,No,Mensual,Sí,Cheque por correo,1.48,44.3,44.3
0082-OQIQY,No,Masculino,No,No,No,29,Sí,No,Fibra óptica,No,No,No,Sí,Sí,Sí,Mensual,Sí,Cheque electrónico,3.14,94.2,2607.6
0083-PIVIK,No,Masculino,No,No,No,64,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,No,Un año,No,Cheque electrónico,2.71,81.25,5567.55
0089-IIQKO,No,Femenino,No,Sí,Sí,39,Sí,Sí,Fibra óptica,No,No,No,Sí,Sí,Sí,Mensual,Sí,Tarjeta de crédito (automático),3.33,99.95,3767.4
0093-EXYQL,No,Femenino,Sí,No,No,40,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,3.05,91.55,3673.6
0093-XWZFY,Sí,Masculino,No,No,No,40,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí,Mensual,Sí,Tarjeta de crédito (automático),3.48,104.5,4036.85
0094-OIFMO,Sí,Femenino,Sí,No,No,11,Sí,No,Fibra óptica,No,Sí,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,3.17,95.0,1120.3
0096-BXERS,No,Femenino,No,Sí,No,6,Sí,Sí,DSL,No,No,No,No,No,No,Mensual,No,Cheque electrónico,1.68,50.35,314.55
0096-FCPUF,No,Masculino,No,No,No,30,Sí,Sí,DSL,Sí,No,No,No,No,Sí,Mensual,Sí,Cheque por correo,2.15,64.5,1888.45
0098-BOWSO,No,Masculino,No,No,No,27,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Cheque electrónico,0.65,19.4,529.8
0100-DUVFC,No,Masculino,Sí,Sí,No,70,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí,Un año,Sí,Cheque electrónico,3.49,104.8,7308.95
0103-CSITQ,No,Femenino,No,Sí,No,57,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí,Un año,Sí,Transferencia bancaria (automática),3.65,109.4,6252.7
0104-PPXDV,No,Masculino,No,Sí,No,58,Sí,No,DSL,No,No,Sí,No,No,No,Un año,No,Tarjeta de crédito (automático),1.68,50.3,2878.55
0106-GHRQR,No,Masculino,No,No,No,16,Sí,Sí,DSL,No,Sí,Sí,No,No,Sí,Mensual,Sí,Transferencia bancaria (automática),2.38,71.4,1212.1
0106-UGRDO,No,Femenino,No,Sí,No,69,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Cheque electrónico,3.87,116.0,8182.85
0107-WESLM,Sí,Masculino,No,No,No,1,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Cheque electrónico,0.66,19.85,19.85
0107-YHINA,Sí,Masculino,No,No,Sí,1,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí,Mensual,Sí,Cheque electrónico,3.32,99.75,99.75
0111-KLBQG,No,Masculino,Sí,Sí,Sí,32,Sí,No,Fibra óptica,No,Sí,No,No,Sí,Sí,Mensual,Sí,Cheque por correo,3.13,93.95,2861.45
0112-QAWRZ,No,Masculino,No,Sí,Sí,16,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,No,Mensual,Sí,Transferencia bancaria (automática),3.03,90.8,1442.2
0112-QWPNC,Sí,Masculino,No,Sí,No,49,Sí,Sí,DSL,Sí,No,Sí,Sí,Sí,Sí,Un año,No,Cheque electrónico,2.81,84.35,4059.35
0114-IGABW,No,Femenino,No,Sí,No,71,No,Sin servicio telefónico,DSL,No,Sí,Sí,Sí,Sí,Sí,Dos años,No,Transferencia bancaria (automática),1.94,58.25,4145.9
0114-PEGZZ,No,Femenino,No,No,No,33,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí,Mensual,No,Cheque electrónico,3.58,107.55,3645.5
0114-RSRRW,No,Femenino,No,Sí,No,10,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Transferencia bancaria (automática),0.66,19.95,187.75
0115-TFERT,Sí,Masculino,No,Sí,No,21,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí,Mensual,Sí,Cheque electrónico,3.71,111.2,2317.1
0117-LFRMW,Sí,Masculino,No,Sí,Sí,37,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,No,No,No,Mensual,No,Transferencia bancaria (automática),1.34,40.2,1448.8
0118-JPNOY,No,Femenino,Sí,No,No,26,Sí,No,Fibra óptica,Sí,No,No,No,Sí,No,Mensual,Sí,Tarjeta de crédito (automático),2.86,85.8,2193.65
0121-SNYRK,No,Masculino,No,No,No,50,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,No,Un año,Sí,Cheque por correo,1.18,35.4,1748.9
0122-OAHPZ,Sí,Femenino,No,No,No,7,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,2.46,73.85,511.25
0123-CRBRT,No,Femenino,No,Sí,Sí,61,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,No,Cheque por correo,2.94,88.1,5526.75
0125-LZQXK,Sí,Masculino,No,No,No,15,Sí,No,Fibra óptica,No,No,Sí,Sí,Sí,Sí,Mensual,Sí,Cheque electrónico,3.38,101.35,1553.95
0128-MKWSG,No,Femenino,No,No,Sí,26,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,Sí,Mensual,No,Cheque por correo,1.53,45.8,1147.0
0129-KPTWJ,No,Masculino,No,Sí,No,72,Sí,No,Fibra óptica,No,No,Sí,No,Sí,Sí,Mensual,Sí,Cheque electrónico,3.16,94.65,6747.35
0129-QMPDR,No,Masculino,No,Sí,Sí,44,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Sí,Transferencia bancaria (automática),0.68,20.5,865.05
0130-SXOUN,No,Masculino,No,No,No,66,Sí,Sí,Fibra óptica,No,Sí,No,No,No,Sí,Mensual,No,Tarjeta de crédito (automático),2.98,89.4,5976.9
0133-BMFZO,Sí,Femenino,No,No,No,2,Sí,No,Fibra óptica,Sí,Sí,No,Sí,No,No,Mensual,Sí,Cheque electrónico,2.88,86.25,181.65
0134-XWXCE,No,Femenino,Sí,No,No,44,Sí,No,DSL,No,No,Sí,Sí,Sí,Sí,Un año,No,Transferencia bancaria (automática),2.49,74.85,3268.05
0135-NMXAP,Sí,Femenino,No,No,No,12,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,No,Mensual,Sí,Transferencia bancaria (automática),2.99,89.75,1052.4
0136-IFMYD,No,Masculino,Sí,Sí,No,69,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Cheque electrónico,3.66,109.95,7634.25
0137-OCGAB,Sí,Femenino,No,No,No,1,Sí,Sí,Fibra óptica,No,Sí,No,No,No,No,Mensual,Sí,Cheque por correo,2.67,80.2,80.2
0137-UDEUO,Sí,Femenino,No,No,No,3,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,0.66,19.85,63.75
0139-IVFJG,No,Femenino,No,Sí,No,2,Sí,No,Fibra óptica,Sí,Sí,No,No,Sí,No,Mensual,No,Cheque electrónico,3.01,90.35,190.5
0141-YEAYS,No,Femenino,Sí,No,No,27,Sí,Sí,Fibra óptica,No,Sí,Sí,No,No,No,Mensual,Sí,Transferencia bancaria (automática),2.88,86.45,2401.05
0142-GVYSN,No,Masculino,No,No,No,26,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Cheque electrónico,0.68,20.3,511.25
0147-ESWWR,No,Femenino,Sí,Sí,No,39,Sí,Sí,Fibra óptica,No,No,No,Sí,Sí,Sí,Mensual,Sí,Cheque electrónico,3.38,101.25,3949.15
0148-DCDOS,Sí,Masculino,No,No,No,25,Sí,Sí,Fibra óptica,No,No,No,No,Sí,Sí,Mensual,Sí,Transferencia bancaria (automática),3.16,94.7,2362.1
0151-ONTOV,Sí,Femenino,No,No,No,1,Sí,No,Fibra óptica,No,No,No,No,No,No,Mensual,No,Cheque por correo,2.36,70.9,70.9
0156-FVPTA,Sí,Masculino,No,Sí,No,22,Sí,No,DSL,Sí,No,No,Sí,No,No,Mensual,Sí,Cheque electrónico,1.81,54.2,1152.7
0164-APGRB,No,Femenino,No,No,No,72,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Cheque electrónico,3.83,114.9,8496.7
0164-XAIRP,No,Femenino,No,No,No,24,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Sí,Transferencia bancaria (automática),0.65,19.55,470.2
0168-XZKBB,No,Femenino,No,Sí,No,19,Sí,Sí,Fibra óptica,No,No,No,No,Sí,No,Mensual,Sí,Cheque electrónico,2.9,86.85,1564.4
0174-QRVVY,No,Masculino,No,Sí,Sí,71,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de crédito (automático),0.85,25.35,1847.55
0177-PXBAT,No,Masculino,Sí,Sí,No,33,Sí,Sí,Fibra óptica,Sí,No,Sí,Sí,Sí,Sí,Mensual,Sí,Transferencia bancaria (automática),3.66,109.9,3694.7
0178-CIIKR,No,Femenino,No,No,No,3,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,0.66,19.95,58.0
0178-SZBHO,No,Masculino,No,Sí,Sí,47,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,No,Mensual,No,Cheque electrónico,2.91,87.2,4017.45
0181-RITDD,No,Masculino,No,Sí,Sí,62,Sí,No,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,No,Cheque por correo,3.6,108.15,6825.65
0186-CAERR,No,Masculino,No,No,No,71,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Un año,Sí,Transferencia bancaria (automática),3.88,116.3,8309.55
0187-QSXOE,No,Masculino,Sí,Sí,No,7,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,2.97,89.0,605.45
0187-WZNAB,No,Femenino,No,Sí,Sí,27,Sí,No,Fibra óptica,Sí,No,No,No,No,No,Mensual,No,Cheque por correo,2.48,74.4,1972.35
0188-GWFLE,No,Masculino,No,No,No,2,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,0.67,20.05,33.7
0191-EQUUH,No,Femenino,No,No,Sí,25,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,No,Dos años,No,Transferencia bancaria (automática),1.17,35.05,844.45
0191-ZHSKZ,No,Masculino,Sí,No,No,30,Sí,No,DSL,Sí,Sí,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,2.49,74.75,2111.3
0193-ESZXP,Sí,Femenino,Sí,Sí,No,58,Sí,No,Fibra óptica,Sí,Sí,No,Sí,Sí,Sí,Un año,Sí,Tarjeta de crédito (automático),3.52,105.5,6205.5
0195-IESCP,Sí,Masculino,No,Sí,No,10,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí,Mensual,Sí,Cheque electrónico,2.84,85.25,855.3
0196-JTUQI,No,Femenino,No,No,No,9,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Tarjeta de crédito (automático),2.51,75.2,633.85
0196-VULGZ,Sí,Femenino,Sí,Sí,No,6,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí,Mensual,Sí,Cheque electrónico,2.81,84.35,474.9
0197-PNKNK,No,Femenino,No,Sí,Sí,69,Sí,Sí,Fibra óptica,Sí,No,Sí,No,No,No,Un año,No,Transferencia bancaria (automática),2.82,84.45,5848.6
0201-MIBOL,No,Femenino,Sí,No,No,66,Sí,Sí,Fibra óptica,Sí,No,No,No,Sí,Sí,Dos años,Sí,Transferencia bancaria (automática),3.41,102.4,6471.85
0201-OAMXR,Sí,Femenino,No,No,No,70,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Un año,No,Tarjeta de crédito (automático),3.85,115.55,8127.6
0203-HHYIJ,Sí,Masculino,No,No,No,25,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Transferencia bancaria (automática),0.84,25.3,676.35
0206-OYVOC,No,Femenino,No,Sí,Sí,46,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Sí,Cheque por correo,0.64,19.25,864.2
0206-TBWLC,No,Femenino,No,Sí,No,54,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Un año,Sí,Cheque por correo,3.82,114.65,6049.5
0207-MDKNV,Sí,Femenino,No,No,No,15,Sí,No,Fibra óptica,Sí,No,Sí,Sí,Sí,Sí,Mensual,No,Cheque electrónico,3.5,105.1,1582.75
0208-BPQEJ,No,Femenino,No,Sí,Sí,12,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Transferencia bancaria (automática),0.65,19.4,198.1
0212-ISBBF,No,Femenino,No,No,No,22,No,Sin servicio telefónico,DSL,No,Sí,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,1.68,50.35,1098.85
0214-JHPFW,No,Femenino,No,Sí,No,70,No,Sin servicio telefónico,DSL,No,Sí,Sí,Sí,Sí,Sí,Dos años,No,Transferencia bancaria (automática),1.93,57.8,4039.3
0215-BQKGS,No,Masculino,No,No,No,30,Sí,No,Fibra óptica,Sí,Sí,Sí,No,No,No,Mensual,Sí,Tarjeta de crédito (automático),2.81,84.3,2438.6
0218-QNVAS,No,Masculino,No,Sí,Sí,71,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,Sí,Un año,No,Transferencia bancaria (automática),3.35,100.55,7113.75
0219-QAERP,No,Masculino,No,Sí,No,30,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Tarjeta de crédito (automático),0.66,19.8,576.65
0219-YTZUE,Sí,Masculino,No,Sí,Sí,4,Sí,Sí,Fibra óptica,No,Sí,Sí,No,No,No,Mensual,Sí,Transferencia bancaria (automática),2.83,84.8,371.9
0220-EBGCE,Sí,Masculino,No,No,No,2,Sí,No,Fibra óptica,No,No,Sí,No,No,Sí,Mensual,Sí,Cheque electrónico,2.86,85.85,167.3
0221-NAUXK,No,Masculino,No,No,Sí,10,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Sí,Transferencia bancaria (automática),0.66,19.95,219.5
0221-WMXNQ,No,Masculino,Sí,No,No,4,Sí,No,Fibra óptica,Sí,No,No,No,No,No,Mensual,No,Cheque electrónico,2.51,75.35,273.4
0222-CNVPT,No,Masculino,Sí,No,No,52,No,Sin servicio telefónico,DSL,Sí,No,No,No,Sí,Sí,Mensual,Sí,Tarjeta de crédito (automático),1.63,48.8,2555.05
0224-HJAPT,Sí,Masculino,No,No,No,5,Sí,Sí,DSL,No,No,No,No,No,No,Mensual,No,Cheque electrónico,1.57,47.15,223.15
0224-NIJLP,No,Masculino,No,Sí,Sí,8,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,0.67,20.15,165.5
0224-RLWWD,No,Femenino,Sí,No,No,2,Sí,No,DSL,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,1.48,44.3,89.3
0225-ZORZP,No,Masculino,No,No,No,3,Sí,No,Fibra óptica,No,Sí,No,No,No,Sí,Mensual,No,Cheque electrónico,2.81,84.3,235.05
0228-MAUWC,No,Masculino,No,No,No,19,Sí,Sí,DSL,No,No,Sí,Sí,No,No,Mensual,No,Cheque electrónico,1.98,59.55,1144.6
0229-LFJAF,No,Masculino,No,No,No,72,Sí,Sí,DSL,Sí,Sí,Sí,Sí,No,No,Dos años,No,Transferencia bancaria (automática),2.32,69.65,4908.25
0230-UBYPQ,No,Masculino,Sí,Sí,No,63,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,No,Un año,No,Transferencia bancaria (automática),1.2,36.1,2298.9
0230-WEQUW,No,Masculino,No,Sí,No,66,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,Sí,No,Dos años,Sí,Transferencia bancaria (automática),1.89,56.6,3789.2
0231-LXVAP,Sí,Masculino,No,No,No,1,Sí,No,Fibra óptica,No,No,No,Sí,No,No,Mensual,Sí,Cheque electrónico,2.53,75.9,75.9
